100,0,0,6,5,10,5,5,4
200,20,25,36,20,35,20,24,14
300,101,116,105,62,95,62,69,34
400,293,343,234,145,199,151,164,75
500,663,821,460,293,374,310,324,145
600,1303,1651,833,550,660,588,590,263
700,2325,3081,1464,987,1093,993,1002,445
800,3845,5241,2332,1565,1710,1594,1602,706
900,6006,8194,3495,2395,2552,2409,2433,1065
1000,8970,13115,5374,3489,3683,3517,3558,1560
1100,12915,18898,7509,4945,5187,4986,5057,2203
1200,18039,26605,10274,6814,7104,6861,6971,3026
1300,24548,37327,14014,9185,9519,9231,9373,4064
1400,32677,51456,18899,12132,12513,12174,12349,5354
1500,42672,71331,25812,15991,16359,15865,16083,6944
1600,54802,95145,33836,20368,20770,20224,20475,8856
1700,69361,125078,43820,25615,26055,25454,25738,11154
1800,86658,161591,55983,31841,32305,31628,31977,13881
1900,106996,204979,70299,39150,39649,38867,39308,17078
2000,130742,257597,87743,47649,48162,47292,47839,20832
